GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03
Id,Id2,Geography,Total population in occupied housing units:,Owner occupied,Renter occupied
1500000US290370600011,290370600011,"Block Group 1, Census Tract 600.01, Cass County, Missouri",5,5,0
1500000US290370600012,290370600012,"Block Group 2, Census Tract 600.01, Cass County, Missouri",3,3,0
1500000US290370600013,290370600013,"Block Group 3, Census Tract 600.01, Cass County, Missouri",1,0,1
1500000US290370600021,290370600021,"Block Group 1, Census Tract 600.02, Cass County, Missouri",7,5,2
1500000US290370600022,290370600022,"Block Group 2, Census Tract 600.02, Cass County, Missouri",11,6,5
1500000US290370600023,290370600023,"Block Group 3, Census Tract 600.02, Cass County, Missouri",25,23,2
1500000US290370600024,290370600024,"Block Group 4, Census Tract 600.02, Cass County, Missouri",8,3,5
1500000US290370601001,290370601001,"Block Group 1, Census Tract 601, Cass County, Missouri",25,0,25
1500000US290370601002,290370601002,"Block Group 2, Census Tract 601, Cass County, Missouri",8,8,0
1500000US290370602001,290370602001,"Block Group 1, Census Tract 602, Cass County, Missouri",15,13,2
1500000US290370602002,290370602002,"Block Group 2, Census Tract 602, Cass County, Missouri",7,0,7
1500000US290370602003,290370602003,"Block Group 3, Census Tract 602, Cass County, Missouri",10,10,0
1500000US290370602004,290370602004,"Block Group 4, Census Tract 602, Cass County, Missouri",3,3,0
1500000US290370602005,290370602005,"Block Group 5, Census Tract 602, Cass County, Missouri",0,0,0
1500000US290370603011,290370603011,"Block Group 1, Census Tract 603.01, Cass County, Missouri",12,12,0
1500000US290370603012,290370603012,"Block Group 2, Census Tract 603.01, Cass County, Missouri",10,10,0
1500000US290370603013,290370603013,"Block Group 3, Census Tract 603.01, Cass County, Missouri",21,21,0
1500000US290370603021,290370603021,"Block Group 1, Census Tract 603.02, Cass County, Missouri",16,16,0
1500000US290370603022,290370603022,"Block Group 2, Census Tract 603.02, Cass County, Missouri",3,0,3
1500000US290370603023,290370603023,"Block Group 3, Census Tract 603.02, Cass County, Missouri",2,2,0
1500000US290370603031,290370603031,"Block Group 1, Census Tract 603.03, Cass County, Missouri",12,12,0
1500000US290370604001,290370604001,"Block Group 1, Census Tract 604, Cass County, Missouri",6,6,0
1500000US290370604002,290370604002,"Block Group 2, Census Tract 604, Cass County, Missouri",0,0,0
1500000US290370605001,290370605001,"Block Group 1, Census Tract 605, Cass County, Missouri",0,0,0
1500000US290370605002,290370605002,"Block Group 2, Census Tract 605, Cass County, Missouri",0,0,0
1500000US290370606001,290370606001,"Block Group 1, Census Tract 606, Cass County, Missouri",18,18,0
1500000US290370606002,290370606002,"Block Group 2, Census Tract 606, Cass County, Missouri",0,0,0
1500000US290370606003,290370606003,"Block Group 3, Census Tract 606, Cass County, Missouri",5,0,5
1500000US290370607001,290370607001,"Block Group 1, Census Tract 607, Cass County, Missouri",0,0,0
1500000US290370607002,290370607002,"Block Group 2, Census Tract 607, Cass County, Missouri",0,0,0
1500000US290370607003,290370607003,"Block Group 3, Census Tract 607, Cass County, Missouri",0,0,0
1500000US290370608001,290370608001,"Block Group 1, Census Tract 608, Cass County, Missouri",0,0,0
